Number,Date,Hour,Store,Sales,Total,Card
5324,2012-01-01,13:14,Scottsdale,Men's Clothing,231.4,MasterCard
5325,2012-01-01,13:14,Laredo,Children's Clothing,324.21,Visa
5326,2012-01-01,13:14,Greensboro,Crafts,293.48,MasterCard
5327,2012-01-01,13:14,Baltimore,Crafts,296.41,Amex
5328,2012-01-01,13:14,Scottsdale,Sporting Goods,344.4,Amex
5329,2012-01-01,13:14,Baltimore,Pet Supplies,182.89,Discover
5330,2012-01-01,13:14,San Francisco,Books,354.36,Amex
5331,2012-01-01,13:14,Irvine,Crafts,280.54,Amex
5332,2012-01-01,13:14,Fort Wayne,Toys,88.38,Visa
5333,2012-01-01,13:14,Irving,Women's Clothing,41.25,Cash
5334,2012-01-01,13:14,Irvine,Children's Clothing,171.9,Amex
5335,2012-01-01,13:14,Austin,Sporting Goods,370,Discover
5336,2012-01-01,13:14,San Diego,Toys,239.8,Amex
5337,2012-01-01,13:14,Sacramento,Pet Supplies,200.46,Cash
5338,2012-01-01,13:14,Minneapolis,Toys,133.96,Amex
5339,2012-01-01,13:14,Indianapolis,Video Games,299.03,Cash
5340,2012-01-01,13:14,Oakland,DVDs,445.17,Discover
5341,2012-01-01,13:15,Honolulu,Consumer Electronics,147.58,Cash
5342,2012-01-01,13:15,Chicago,Video Games,407.44,Cash
5343,2012-01-01,13:15,Rochester,Toys,137.67,MasterCard
5344,2012-01-01,13:15,Houston,Children's Clothing,389.15,Cash
5345,2012-01-01,13:15,Long Beach,Computers,219.42,Cash
5346,2012-01-01,13:15,Raleigh,Books,292.61,MasterCard
5347,2012-01-01,13:15,Newark,Music,240.4,Visa
5348,2012-01-01,13:15,Fort Wayne,Health and Beauty,443.63,Visa
5349,2012-01-01,13:15,Toledo,CDs,261.5,Cash
5350,2012-01-01,13:15,Garland,Sporting Goods,81.13,MasterCard
5351,2012-01-01,13:15,Philadelphia,Computers,157.45,Amex
5352,2012-01-01,13:15,Irving,Crafts,298.66,Amex
5353,2012-01-01,13:15,Chula Vista,DVDs,457.14,Cash
5354,2012-01-01,13:15,Birmingham,Video Games,1.24,Visa
5355,2012-01-01,13:15,Fremont,Men's Clothing,444.02,Visa
5356,2012-01-01,13:15,Anaheim,Men's Clothing,334.65,MasterCard
5357,2012-01-01,13:15,Stockton,Health and Beauty,71.46,Cash
5358,2012-01-01,13:15,Anaheim,Health and Beauty,345.96,Visa
5359,2012-01-01,13:15,Stockton,CDs,36.83,Cash
5360,2012-01-01,13:16,St. Petersburg,Sporting Goods,41.83,Visa
5361,2012-01-01,13:16,Wichita,DVDs,416.51,Cash
5362,2012-01-01,13:16,Atlanta,Video Games,253.48,Visa
5363,2012-01-01,13:16,Austin,CDs,176.32,MasterCard
5364,2012-01-01,13:16,Kansas City,CDs,361.45,Visa
5365,2012-01-01,13:16,Wichita,Men's Clothing,144.74,MasterCard
5366,2012-01-01,13:16,Baltimore,Garden,312.9,MasterCard
5367,2012-01-01,13:16,Henderson,Video Games,13.38,Discover
5368,2012-01-01,13:16,Detroit,Consumer Electronics,313.96,MasterCard
5369,2012-01-01,13:16,Colorado Springs,Pet Supplies,19.07,MasterCard
5370,2012-01-01,13:16,Garland,Crafts,270.49,Cash
5371,2012-01-01,13:16,Greensboro,Video Games,122.33,MasterCard
5372,2012-01-01,13:16,Austin,DVDs,399.08,Discover
5373,2012-01-01,13:16,Houston,Men's Clothing,86.95,MasterCard
5374,2012-01-01,13:16,New Orleans,Video Games,80.69,MasterCard
5375,2012-01-01,13:16,Glendale,Men's Clothing,49.82,Cash
5376,2012-01-01,13:16,San Diego,DVDs,267.8,MasterCard
5377,2012-01-01,13:16,New Orleans,DVDs,405.82,MasterCard
5378,2012-01-01,13:16,Atlanta,DVDs,222.55,Cash
5379,2012-01-01,13:16,Chula Vista,CDs,405.67,Visa
5380,2012-01-01,13:17,Richmond,Women's Clothing,10.87,Discover
5381,2012-01-01,13:17,North Las Vegas,Sporting Goods,186.11,Discover
5382,2012-01-01,13:17,Norfolk,Computers,25.16,Cash
5383,2012-01-01,13:17,Kansas City,Baby,159.84,Discover
5384,2012-01-01,13:17,San Francisco,Women's Clothing,134.02,Cash
5385,2012-01-01,13:17,Hialeah,Men's Clothing,441.2,Visa
5386,2012-01-01,13:17,New York,Children's Clothing,177.71,Visa
5387,2012-01-01,13:17,Aurora,CDs,37.67,Visa
5388,2012-01-01,13:17,Albuquerque,Books,152.38,Discover
5389,2012-01-01,13:17,San Antonio,Cameras,95.33,Cash
5390,2012-01-01,13:17,Sacramento,Baby,123.86,Amex
5391,2012-01-01,13:17,Tucson,Consumer Electronics,256.87,Amex
5392,2012-01-01,13:17,Rochester,Toys,435.42,Discover
5393,2012-01-01,13:17,Henderson,Video Games,117.88,MasterCard
5394,2012-01-01,13:17,Las Vegas,Consumer Electronics,299.39,Amex
5395,2012-01-01,13:17,Newark,Crafts,489.44,Amex
5396,2012-01-01,13:17,Corpus Christi,Health and Beauty,460.2,Discover
5397,2012-01-01,13:17,Fort Worth,Toys,497.69,Amex
5398,2012-01-01,13:17,Jacksonville,Health and Beauty,216.82,Discover
5399,2012-01-01,13:18,San Jose,Cameras,422.63,Amex
5400,2012-01-01,13:18,Long Beach,Crafts,431.08,MasterCard
5401,2012-01-01,13:18,Detroit,Music,275.69,MasterCard
5402,2012-01-01,13:18,San Jose,Children's Clothing,192.22,Visa
5403,2012-01-01,13:18,Cleveland,Consumer Electronics,85.95,Visa
5404,2012-01-01,13:18,Denver,Baby,3.61,MasterCard
5405,2012-01-01,13:18,Santa Ana,Sporting Goods,344.53,Amex
5406,2012-01-01,13:18,Las Vegas,Sporting Goods,384.16,Discover
5407,2012-01-01,13:18,Houston,Consumer Electronics,435.67,Discover
5408,2012-01-01,13:18,Pittsburgh,Cameras,230.4,MasterCard
5409,2012-01-01,13:18,Philadelphia,Crafts,173.75,Discover
5410,2012-01-01,13:18,Stockton,Video Games,277.7,Amex
5411,2012-01-01,13:18,Riverside,Consumer Electronics,239.29,Amex
5412,2012-01-01,13:18,Toledo,Sporting Goods,148.86,Cash
5413,2012-01-01,13:18,Louisville,CDs,46.98,Visa
5414,2012-01-01,13:18,Irving,Men's Clothing,223.73,Cash
5415,2012-01-01,13:18,Austin,Video Games,113.72,Visa
5416,2012-01-01,13:18,Hialeah,Music,192.52,Visa
5417,2012-01-01,13:18,Lincoln,Video Games,188.86,Amex
5418,2012-01-01,13:18,Atlanta,Music,153.25,Cash
5419,2012-01-01,13:18,Tampa,Garden,477.4,Visa
5420,2012-01-01,13:18,San Jose,Video Games,109.78,MasterCard
5421,2012-01-01,13:19,Charlotte,Pet Supplies,26.29,Visa
5422,2012-01-01,13:19,San Bernardino,Computers,359.29,Amex
5423,2012-01-01,13:19,Raleigh,Music,498.66,Discover
5424,2012-01-01,13:19,Austin,Computers,187.56,Cash
5425,2012-01-01,13:19,Denver,Pet Supplies,488.89,Amex
5426,2012-01-01,13:19,Toledo,DVDs,73.83,Cash
5427,2012-01-01,13:19,Scottsdale,Health and Beauty,117.66,MasterCard
5428,2012-01-01,13:19,Henderson,Video Games,336.16,Cash
5429,2012-01-01,13:19,San Diego,Crafts,206.1,MasterCard
5430,2012-01-01,13:19,Orlando,CDs,376.91,Visa
5431,2012-01-01,13:19,Greensboro,Cameras,436.8,Discover
5432,2012-01-01,13:19,St. Louis,Men's Clothing,271.7,Cash
5433,2012-01-01,13:19,Corpus Christi,Books,379.18,Cash
5434,2012-01-01,13:19,Chesapeake,Cameras,141.3,Discover
5435,2012-01-01,13:19,Norfolk,CDs,20.17,Amex
5436,2012-01-01,13:19,Wichita,Toys,363.07,Discover
5437,2012-01-01,13:19,Virginia Beach,CDs,388.39,Amex
5438,2012-01-01,13:19,Gilbert,CDs,338.07,MasterCard
5439,2012-01-01,13:19,Portland,Consumer Electronics,206.2,Amex
5440,2012-01-01,13:19,Buffalo,CDs,238.06,Discover
5441,2012-01-01,13:19,San Francisco,Health and Beauty,9.33,Cash
5442,2012-01-01,13:19,Toledo,Baby,292.53,MasterCard
5443,2012-01-01,13:19,Boise,Baby,117.67,Discover
5444,2012-01-01,13:19,Long Beach,Music,6.75,Visa
5445,2012-01-01,13:19,Reno,Music,101.72,Cash
5446,2012-01-01,13:20,Virginia Beach,Cameras,456.13,Discover
5447,2012-01-01,13:20,San Antonio,Women's Clothing,410.71,Discover
5448,2012-01-01,13:20,Lubbock,Consumer Electronics,101.75,Amex
5449,2012-01-01,13:20,Indianapolis,Children's Clothing,396.93,MasterCard
5450,2012-01-01,13:20,Portland,CDs,124.26,Cash
5451,2012-01-01,13:20,Gilbert,Baby,70.71,Cash
5452,2012-01-01,13:20,Tulsa,Garden,327.25,Cash
5453,2012-01-01,13:20,Long Beach,Computers,276.68,Amex
5454,2012-01-01,13:20,Sacramento,Health and Beauty,220.26,Visa
5455,2012-01-01,13:20,Colorado Springs,Computers,67.26,Discover
5456,2012-01-01,13:20,Austin,DVDs,169.45,Cash
5457,2012-01-01,13:20,Rochester,Music,484.66,MasterCard
5458,2012-01-01,13:20,Buffalo,Women's Clothing,235.69,Cash
5459,2012-01-01,13:20,Aurora,Children's Clothing,442.03,Visa
5460,2012-01-01,13:20,Garland,Men's Clothing,435.67,Discover
5461,2012-01-01,13:20,Philadelphia,CDs,259.65,Cash
5462,2012-01-01,13:21,Long Beach,Sporting Goods,362.01,Discover
5463,2012-01-01,13:21,Saint Paul,Music,30.42,Cash
5464,2012-01-01,13:21,Laredo,Computers,350.19,MasterCard
5465,2012-01-01,13:21,Glendale,Toys,2.46,Amex
5466,2012-01-01,13:21,Tucson,DVDs,271.96,Discover
5467,2012-01-01,13:21,Plano,Baby,337.92,Discover
5468,2012-01-01,13:21,Scottsdale,Cameras,99.16,MasterCard
5469,2012-01-01,13:21,Memphis,Baby,430.72,MasterCard
5470,2012-01-01,13:21,Tucson,Cameras,457.78,Amex
5471,2012-01-01,13:21,Bakersfield,Books,134.44,Amex
5472,2012-01-01,13:21,St. Louis,Books,321.92,Amex
5473,2012-01-01,13:21,Boston,Men's Clothing,370.85,Cash
5474,2012-01-01,13:21,Gilbert,Health and Beauty,392.5,Cash
5475,2012-01-01,13:21,Kansas City,CDs,383.77,Amex
5476,2012-01-01,13:21,Washington,Health and Beauty,173.24,MasterCard
5477,2012-01-01,13:21,Orlando,CDs,165.65,Visa
5478,2012-01-01,13:21,Bakersfield,Toys,273.94,Visa
5479,2012-01-01,13:21,Lincoln,Consumer Electronics,147.98,Cash
5480,2012-01-01,13:21,Honolulu,Pet Supplies,117.45,MasterCard
5481,2012-01-01,13:21,Richmond,CDs,485.02,Discover
5482,2012-01-01,13:21,New Orleans,Pet Supplies,388.97,Discover
5483,2012-01-01,13:21,Wichita,Music,192.24,MasterCard
5484,2012-01-01,13:21,Lincoln,Consumer Electronics,265.97,Discover
5485,2012-01-01,13:21,Rochester,Men's Clothing,74.28,Visa
5486,2012-01-01,13:21,Lexington,Men's Clothing,489.23,Visa
5487,2012-01-01,13:21,El Paso,Toys,92.56,Visa
5488,2012-01-01,13:22,Chula Vista,Health and Beauty,205.53,Amex
5489,2012-01-01,13:22,Chandler,Men's Clothing,367.52,Cash
5490,2012-01-01,13:22,Arlington,Sporting Goods,458.49,Discover
5491,2012-01-01,13:22,Henderson,Garden,218.84,Discover
5492,2012-01-01,13:22,Austin,Baby,339.98,Visa
5493,2012-01-01,13:22,Sacramento,Crafts,25.73,MasterCard
5494,2012-01-01,13:22,Tulsa,Men's Clothing,347.26,Amex
5495,2012-01-01,13:22,Laredo,Sporting Goods,215.2,Cash
5496,2012-01-01,13:22,Tampa,CDs,268.44,Amex
5497,2012-01-01,13:22,Miami,Garden,246.64,MasterCard
5498,2012-01-01,13:22,Toledo,Garden,71.98,MasterCard
5499,2012-01-01,13:22,Jersey City,Baby,118.92,MasterCard
5500,2012-01-01,13:22,Laredo,Pet Supplies,93.83,MasterCard
5501,2012-01-01,13:22,Detroit,Computers,72.61,Visa
5502,2012-01-01,13:22,Seattle,DVDs,312.35,Amex
5503,2012-01-01,13:22,Corpus Christi,Cameras,193.59,Amex
5504,2012-01-01,13:22,Tulsa,Baby,358.61,MasterCard
5505,2012-01-01,13:22,Atlanta,Health and Beauty,328.66,Cash
5506,2012-01-01,13:22,San Antonio,Health and Beauty,96.89,Amex
5507,2012-01-01,13:22,Kansas City,Sporting Goods,426.16,Visa
5508,2012-01-01,13:22,San Diego,Sporting Goods,354.44,Discover
5509,2012-01-01,13:23,Kansas City,Video Games,472.53,Discover
5510,2012-01-01,13:23,Lincoln,Health and Beauty,21.66,Discover
5511,2012-01-01,13:23,Tulsa,Health and Beauty,282.34,MasterCard
5512,2012-01-01,13:23,Rochester,Computers,329.88,Visa
5513,2012-01-01,13:23,Tucson,CDs,202.48,Discover
5514,2012-01-01,13:23,Laredo,Sporting Goods,287.1,Visa
5515,2012-01-01,13:23,Austin,Baby,323.42,Amex
5516,2012-01-01,13:23,Durham,Baby,396.72,MasterCard
5517,2012-01-01,13:23,North Las Vegas,Toys,4.45,Visa
5518,2012-01-01,13:23,Gilbert,CDs,19.34,Visa
5519,2012-01-01,13:23,New York,Sporting Goods,462.4,Amex
5520,2012-01-01,13:23,Albuquerque,DVDs,408.36,Visa
5521,2012-01-01,13:23,Dallas,Consumer Electronics,345.96,Discover
5522,2012-01-01,13:23,Rochester,Health and Beauty,262.8,Visa
5523,2012-01-01,13:23,Durham,Consumer Electronics,334.8,Discover
5524,2012-01-01,13:23,El Paso,Video Games,455.87,Discover
5525,2012-01-01,13:23,Las Vegas,CDs,264.04,Visa
5526,2012-01-01,13:23,Las Vegas,Women's Clothing,28.34,Amex
5527,2012-01-01,13:23,Philadelphia,CDs,184.66,Visa
5528,2012-01-01,13:23,Boise,Computers,371.3,Discover
5529,2012-01-01,13:23,Greensboro,Computers,456.62,Cash
5530,2012-01-01,13:23,Las Vegas,Garden,59.58,Amex
5531,2012-01-01,13:23,Houston,CDs,428.18,Cash
5532,2012-01-01,13:24,Oakland,Baby,484.32,Cash
5533,2012-01-01,13:24,Richmond,Consumer Electronics,398.69,Visa
5534,2012-01-01,13:24,Riverside,Toys,49.88,Amex
5535,2012-01-01,13:24,Aurora,CDs,152.19,Amex
5536,2012-01-01,13:24,Philadelphia,CDs,42.34,MasterCard
5537,2012-01-01,13:24,Lexington,CDs,254.74,MasterCard
5538,2012-01-01,13:24,Memphis,Sporting Goods,71.86,MasterCard
5539,2012-01-01,13:24,Omaha,Video Games,184.03,Visa
5540,2012-01-01,13:24,Chesapeake,DVDs,180.09,Discover
5541,2012-01-01,13:24,Wichita,Baby,60.09,Visa
5542,2012-01-01,13:24,Chesapeake,Computers,7.58,Visa
5543,2012-01-01,13:24,Lincoln,Garden,31.9,Visa
5544,2012-01-01,13:24,Fremont,Books,471.5,Cash
5545,2012-01-01,13:24,San Francisco,Women's Clothing,302.49,MasterCard
5546,2012-01-01,13:24,Seattle,DVDs,114,MasterCard
5547,2012-01-01,13:24,Lexington,Health and Beauty,350.29,Cash
5548,2012-01-01,13:24,Reno,Crafts,356.98,Cash
5549,2012-01-01,13:24,Laredo,Baby,379.45,Amex
5550,2012-01-01,13:24,Oklahoma City,CDs,104.94,Cash
5551,2012-01-01,13:24,Madison,Baby,481.25,Amex
5552,2012-01-01,13:25,Pittsburgh,CDs,398.89,Discover
5553,2012-01-01,13:25,Omaha,DVDs,170.85,Cash
5554,2012-01-01,13:25,Washington,Video Games,337,MasterCard
5555,2012-01-01,13:25,Fresno,Books,410.89,MasterCard
5556,2012-01-01,13:25,Arlington,DVDs,5.95,Amex
5557,2012-01-01,13:25,Seattle,Crafts,142.46,Visa
5558,2012-01-01,13:25,Spokane,Crafts,210.96,MasterCard
5559,2012-01-01,13:25,Boston,Cameras,182.46,Discover
5560,2012-01-01,13:25,Las Vegas,DVDs,299.59,Visa
5561,2012-01-01,13:25,Richmond,Women's Clothing,465.45,Amex
5562,2012-01-01,13:25,Fremont,Computers,148.55,MasterCard
5563,2012-01-01,13:25,Buffalo,Children's Clothing,391.93,Amex
5564,2012-01-01,13:25,Anchorage,Cameras,194.68,Cash
5565,2012-01-01,13:25,Aurora,Consumer Electronics,84.16,Amex
5566,2012-01-01,13:25,Long Beach,Crafts,270.58,Cash
5567,2012-01-01,13:25,Fresno,Garden,261.87,Cash
5568,2012-01-01,13:25,Portland,Baby,79.67,Discover
5569,2012-01-01,13:25,Dallas,CDs,485.07,Visa
5570,2012-01-01,13:25,Portland,Garden,159.72,Visa
5571,2012-01-01,13:25,Austin,DVDs,399.49,MasterCard
5572,2012-01-01,13:25,Orlando,Children's Clothing,322.43,Discover
5573,2012-01-01,13:26,Toledo,Pet Supplies,43.73,Cash
5574,2012-01-01,13:26,Chandler,Sporting Goods,326.24,Cash
5575,2012-01-01,13:26,Detroit,Video Games,393.84,Cash
5576,2012-01-01,13:26,Washington,DVDs,228.7,Discover
5577,2012-01-01,13:26,Raleigh,Books,437.75,Cash
5578,2012-01-01,13:26,Jersey City,Video Games,154.42,Cash
5579,2012-01-01,13:26,San Francisco,Health and Beauty,206.04,Discover
5580,2012-01-01,13:26,Charlotte,Baby,73.61,Cash
5581,2012-01-01,13:26,Seattle,Health and Beauty,4.66,Visa
5582,2012-01-01,13:26,Mesa,Music,298.8,Amex
5583,2012-01-01,13:26,Greensboro,Pet Supplies,226.01,MasterCard
5584,2012-01-01,13:26,Tulsa,Pet Supplies,213.87,Discover
5585,2012-01-01,13:26,St. Petersburg,Baby,477.28,Cash
5586,2012-01-01,13:26,San Francisco,Children's Clothing,200.09,Visa
5587,2012-01-01,13:26,Bakersfield,Men's Clothing,413.62,Discover
5588,2012-01-01,13:26,Boston,Computers,322.57,Cash
5589,2012-01-01,13:26,Durham,Books,61.66,Visa
5590,2012-01-01,13:26,Honolulu,Baby,25.51,Amex
5591,2012-01-01,13:26,Spokane,Cameras,146.34,Visa
5592,2012-01-01,13:26,Seattle,Pet Supplies,189.67,Amex
5593,2012-01-01,13:26,Newark,Computers,207.59,Amex
5594,2012-01-01,13:26,Cincinnati,Baby,137.81,Visa
5595,2012-01-01,13:26,Newark,Consumer Electronics,169.37,MasterCard
5596,2012-01-01,13:27,Chula Vista,Music,333.32,Visa
5597,2012-01-01,13:27,Henderson,Men's Clothing,78.73,MasterCard
5598,2012-01-01,13:27,Oakland,Computers,454.24,Visa
5599,2012-01-01,13:27,Portland,Health and Beauty,186.3,Cash
5600,2012-01-01,13:27,Cleveland,Children's Clothing,13.25,Discover
5601,2012-01-01,13:27,North Las Vegas,Sporting Goods,276.1,Cash
5602,2012-01-01,13:27,Omaha,Health and Beauty,117.33,Cash
5603,2012-01-01,13:27,San Jose,Books,294.14,Amex
5604,2012-01-01,13:27,Milwaukee,Music,108.02,Visa
5605,2012-01-01,13:27,Laredo,Music,25.87,MasterCard
5606,2012-01-01,13:27,Baton Rouge,Health and Beauty,14.34,MasterCard
5607,2012-01-01,13:27,Sacramento,Garden,360.81,MasterCard
5608,2012-01-01,13:27,Toledo,Health and Beauty,240.14,MasterCard
5609,2012-01-01,13:27,Atlanta,Music,474.32,Visa
5610,2012-01-01,13:27,Long Beach,Pet Supplies,429.49,Discover
5611,2012-01-01,13:27,Los Angeles,Consumer Electronics,97.4,Amex
5612,2012-01-01,13:28,Baton Rouge,Crafts,357.68,MasterCard
5613,2012-01-01,13:28,Memphis,Cameras,72.52,Discover
5614,2012-01-01,13:28,Norfolk,Consumer Electronics,437.19,MasterCard
5615,2012-01-01,13:28,Fort Wayne,Music,213.25,Visa
5616,2012-01-01,13:28,El Paso,Computers,119.61,Cash
5617,2012-01-01,13:28,Chula Vista,Cameras,366.76,Amex
5618,2012-01-01,13:28,Nashville,Children's Clothing,293.59,Amex
5619,2012-01-01,13:28,Saint Paul,Sporting Goods,51.87,Amex
5620,2012-01-01,13:28,San Bernardino,Pet Supplies,101.24,MasterCard
5621,2012-01-01,13:28,Baltimore,Sporting Goods,212.13,Cash
5622,2012-01-01,13:28,Dallas,Consumer Electronics,448.39,Amex
5623,2012-01-01,13:28,Baltimore,Toys,41.91,MasterCard
5624,2012-01-01,13:28,Houston,CDs,0.59,Amex
5625,2012-01-01,13:28,Long Beach,Children's Clothing,48.45,Discover
5626,2012-01-01,13:28,Jersey City,Men's Clothing,126.83,Visa
5627,2012-01-01,13:28,Saint Paul,Health and Beauty,243.27,Visa
5628,2012-01-01,13:28,San Diego,Music,170.82,Amex
5629,2012-01-01,13:28,St. Louis,Video Games,31.63,Discover
5630,2012-01-01,13:28,Denver,Baby,254.72,Visa
5631,2012-01-01,13:28,Madison,Garden,476.12,Cash
5632,2012-01-01,13:28,Milwaukee,Cameras,26.3,MasterCard
5633,2012-01-01,13:28,Richmond,Toys,331.58,MasterCard
5634,2012-01-01,13:29,Hialeah,CDs,235.2,Cash
5635,2012-01-01,13:29,St. Petersburg,Books,434.36,Cash
5636,2012-01-01,13:29,Denver,Women's Clothing,232.6,Discover
5637,2012-01-01,13:29,Raleigh,Computers,184.9,Visa
5638,2012-01-01,13:29,Santa Ana,Computers,261.26,Discover
5639,2012-01-01,13:29,Anaheim,Children's Clothing,460.28,MasterCard
5640,2012-01-01,13:29,San Jose,Baby,374.04,Discover
5641,2012-01-01,13:29,San Diego,Computers,233.98,Cash
5642,2012-01-01,13:29,Fort Worth,Computers,290.17,Cash
5643,2012-01-01,13:29,Richmond,Consumer Electronics,443.59,MasterCard
5644,2012-01-01,13:29,Newark,Baby,492.15,Cash
5645,2012-01-01,13:29,Portland,Consumer Electronics,402.49,Amex
5646,2012-01-01,13:29,Newark,DVDs,210.27,MasterCard
5647,2012-01-01,13:29,Tucson,Sporting Goods,205.62,Cash
5648,2012-01-01,13:29,Pittsburgh,Crafts,371.76,Visa
5649,2012-01-01,13:29,Henderson,Cameras,172.98,Visa
5650,2012-01-01,13:29,Miami,Books,436.06,Discover
5651,2012-01-01,13:30,Birmingham,Toys,94.64,Discover
5652,2012-01-01,13:30,Anchorage,Computers,44.58,MasterCard
5653,2012-01-01,13:30,Arlington,Men's Clothing,298.36,Cash
5654,2012-01-01,13:30,Fremont,Crafts,279.59,Visa
5655,2012-01-01,13:30,Toledo,Music,320.38,Amex
5656,2012-01-01,13:30,Las Vegas,Video Games,370.99,Amex
5657,2012-01-01,13:30,San Diego,Sporting Goods,320.14,Visa
5658,2012-01-01,13:30,Baton Rouge,Crafts,162.38,Discover
5659,2012-01-01,13:30,Madison,CDs,53.89,Amex
5660,2012-01-01,13:30,Glendale,Books,296.96,Amex
5661,2012-01-01,13:30,Baton Rouge,Consumer Electronics,254.47,Visa
5662,2012-01-01,13:30,Saint Paul,CDs,28.91,Amex
5663,2012-01-01,13:30,Omaha,Pet Supplies,216.6,Visa
5664,2012-01-01,13:30,Baton Rouge,Health and Beauty,193.57,Visa
5665,2012-01-01,13:30,North Las Vegas,Video Games,238.26,Visa
5666,2012-01-01,13:30,Fort Wayne,Baby,63.15,Amex
5667,2012-01-01,13:30,Arlington,CDs,432.13,Cash
5668,2012-01-01,13:30,Seattle,Baby,130.91,MasterCard
5669,2012-01-01,13:30,Fresno,CDs,343.55,Amex
5670,2012-01-01,13:31,Indianapolis,Music,88.6,Discover
5671,2012-01-01,13:31,Tulsa,Garden,480.08,Visa
5672,2012-01-01,13:31,Lexington,Crafts,174.17,Cash
5673,2012-01-01,13:31,Norfolk,DVDs,427.25,Amex
5674,2012-01-01,13:31,Nashville,Books,19.8,MasterCard
5675,2012-01-01,13:31,Madison,Computers,140.3,MasterCard
5676,2012-01-01,13:31,Baltimore,Women's Clothing,72.31,MasterCard
5677,2012-01-01,13:31,Madison,Pet Supplies,324.82,MasterCard
5678,2012-01-01,13:31,Jacksonville,Video Games,158.92,MasterCard
5679,2012-01-01,13:31,Gilbert,Women's Clothing,416.39,MasterCard
5680,2012-01-01,13:31,Richmond,Pet Supplies,28.74,Visa
5681,2012-01-01,13:31,Cincinnati,Crafts,196.42,Discover
5682,2012-01-01,13:31,St. Petersburg,Computers,386.49,Amex
5683,2012-01-01,13:31,St. Petersburg,Books,266.68,Visa
5684,2012-01-01,13:31,Fremont,Sporting Goods,44.82,Visa
5685,2012-01-01,13:31,Norfolk,Pet Supplies,435.17,MasterCard
5686,2012-01-01,13:31,Philadelphia,Women's Clothing,444.84,Visa
5687,2012-01-01,13:31,Henderson,Baby,165.13,MasterCard
5688,2012-01-01,13:31,Baltimore,DVDs,241.07,Discover
5689,2012-01-01,13:32,Richmond,Women's Clothing,454.11,Discover
5690,2012-01-01,13:32,Reno,Pet Supplies,452.12,MasterCard
5691,2012-01-01,13:32,Colorado Springs,Baby,445.17,Cash
5692,2012-01-01,13:32,Saint Paul,Health and Beauty,131.91,Visa
5693,2012-01-01,13:32,El Paso,Consumer Electronics,354.62,Discover
5694,2012-01-01,13:32,Cleveland,Women's Clothing,294.31,Visa
5695,2012-01-01,13:32,Lubbock,Computers,285.78,Discover
5696,2012-01-01,13:32,Tampa,CDs,181.35,MasterCard
5697,2012-01-01,13:32,Houston,Music,406.4,Visa
5698,2012-01-01,13:32,Milwaukee,Health and Beauty,415.89,Visa
5699,2012-01-01,13:32,Madison,Cameras,263.66,Cash
5700,2012-01-01,13:32,San Francisco,Consumer Electronics,250.21,Visa
5701,2012-01-01,13:32,Irving,CDs,214.26,Visa
5702,2012-01-01,13:32,Riverside,Crafts,18.58,MasterCard
5703,2012-01-01,13:32,Cleveland,Toys,60.97,Discover
5704,2012-01-01,13:32,Boston,CDs,62.26,Amex
5705,2012-01-01,13:32,Hialeah,DVDs,398.78,Cash
5706,2012-01-01,13:32,Tulsa,Toys,126.14,Discover
5707,2012-01-01,13:32,Aurora,Men's Clothing,72.14,MasterCard
5708,2012-01-01,13:32,Memphis,Sporting Goods,265.32,Visa
5709,2012-01-01,13:32,Fort Wayne,CDs,385.72,Cash
5710,2012-01-01,13:32,Oakland,Women's Clothing,177.78,Discover
5711,2012-01-01,13:32,Durham,Books,282.4,Amex
5712,2012-01-01,13:32,Gilbert,Baby,260.89,Visa
5713,2012-01-01,13:32,Las Vegas,Men's Clothing,412.61,Amex
5714,2012-01-01,13:33,Tampa,Music,111.95,Discover
5715,2012-01-01,13:33,Boise,DVDs,439.38,Amex
5716,2012-01-01,13:33,Bakersfield,Garden,179.36,MasterCard
5717,2012-01-01,13:33,Kansas City,Books,436.83,Discover
5718,2012-01-01,13:33,Mesa,Pet Supplies,408.76,Visa
5719,2012-01-01,13:33,Mesa,Health and Beauty,151.98,Amex
5720,2012-01-01,13:33,Gilbert,Toys,182.41,Amex
5721,2012-01-01,13:33,Winston–Salem,Baby,16.87,Visa
5722,2012-01-01,13:33,Wichita,Cameras,57.01,MasterCard
5723,2012-01-01,13:33,North Las Vegas,Crafts,175.31,Visa
5724,2012-01-01,13:33,Memphis,Cameras,288.89,Visa
5725,2012-01-01,13:33,Lexington,Pet Supplies,495.84,Discover
5726,2012-01-01,13:33,Glendale,DVDs,285.83,Visa
5727,2012-01-01,13:33,St. Louis,Men's Clothing,169.95,Amex
5728,2012-01-01,13:33,Orlando,CDs,363.7,Discover
5729,2012-01-01,13:33,Oakland,Toys,287.17,Discover
5730,2012-01-01,13:33,Lexington,Baby,214.89,Discover
5731,2012-01-01,13:33,Houston,Video Games,79.76,MasterCard
5732,2012-01-01,13:33,Aurora,DVDs,66.75,Visa
5733,2012-01-01,13:34,Birmingham,Men's Clothing,111.79,Cash
5734,2012-01-01,13:34,Madison,Video Games,336.3,Discover
5735,2012-01-01,13:34,Henderson,Garden,85,Visa
5736,2012-01-01,13:34,Baton Rouge,Books,171.78,Amex
5737,2012-01-01,13:34,Milwaukee,Women's Clothing,421.52,Amex
5738,2012-01-01,13:34,Minneapolis,Men's Clothing,145.14,MasterCard
